CustomerID,Age,Family size,Restaurant Rating,Delivery Rating,No. of orders placed,Delivery Time,Order Value,Ease and convenient_encoded,Self Cooking_encoded,Health Concern_encoded,Late Delivery_encoded,Poor Hygiene_encoded,Bad past experience_encoded,More Offers and Discount_encoded,Maximum wait time_encoded,Influence of rating_encoded,Gender_Male,Marital Status_Prefer not to say,Marital Status_Single,Occupation_House wife,Occupation_Self Employeed,Occupation_Student,Educational Qualifications_Ph.D,Educational Qualifications_Post Graduate,Educational Qualifications_School,Educational Qualifications_Uneducated,Frequently used Medium_Food delivery apps,Frequently used Medium_Walk-in,Frequently used Medium_Web browser,Frequently ordered Meal category_Dinner,Frequently ordered Meal category_Lunch,Frequently ordered Meal category_Snacks,Perference_Non Veg foods (Lunch / Dinner),Perference_Sweets,Perference_Veg foods (Breakfast / Lunch / Dinner)
CUS000122,27,2,5,3,212,58.0,1,4,3,5,4,3,4,3,1.0,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
CUS000123,25,3,1,3,235,46.0,3,4,2,1,2,1,2,4,1.0,3,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
CUS000124,33,5,5,2,126,47.0,3,4,4,5,5,5,5,2,1.0,3,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0
CUS000125,26,3,3,2,28,18.0,3,4,2,2,4,2,3,5,2.0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
CUS000126,22,4,5,2,58,40.0,2,5,4,3,4,4,4,4,2.0,3,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0
CUS000127,23,3,3,4,159,32.0,3,4,4,5,4,4,4,4,1.0,3,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1
CUS000128,22,3,5,5,216,39.0,1,5,5,4,2,3,2,5,2.0,3,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1
CUS000129,25,2,3,1,184,51.0,2,2,4,5,4,5,4,3,2.0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
CUS000130,30,5,4,1,151,55.0,2,4,4,2,2,2,2,5,1.0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0
CUS000131,24,3,5,1,194,11.0,3,2,4,5,5,5,5,2,,3,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0
CUS000132,25,3,3,3,150,52.0,3,4,2,2,4,2,2,5,2.0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
CUS000133,23,3,3,4,122,31.0,3,5,4,3,2,3,3,5,2.0,3,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0
CUS000134,24,4,2,4,110,58.0,1,4,3,5,3,5,4,3,1.0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1
CUS000135,32,4,2,4,175,39.0,3,4,4,4,4,3,3,4,1.0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
CUS000136,22,4,2,2,242,54.0,3,3,2,3,4,2,3,4,1.0,3,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0
CUS000137,20,2,1,4,48,30.0,3,4,3,2,4,2,2,5,1.0,3,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
CUS000138,21,2,3,1,128,42.0,3,4,2,1,2,1,2,5,1.0,3,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
CUS000139,24,5,3,1,172,18.0,1,4,4,4,5,4,5,2,2.0,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0
CUS000140,25,3,1,5,235,22.0,2,4,2,2,4,2,2,5,1.0,3,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0
CUS000141,32,3,4,4,237,64.0,2,4,4,4,2,4,2,4,3.0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
CUS000142,27,5,3,4,169,12.0,3,4,4,4,5,5,4,3,,3,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
CUS000143,20,2,3,1,48,40.0,2,5,2,4,2,2,2,5,2.0,3,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
CUS000144,21,2,1,1,98,26.0,2,4,2,1,3,1,1,5,2.0,3,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
CUS000145,26,3,4,3,201,25.0,3,2,4,5,5,5,5,2,,3,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
CUS000146,25,4,4,4,56,53.0,2,5,4,3,5,2,3,5,2.0,3,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
CUS000147,26,3,2,1,250,50.0,3,4,2,1,3,2,1,5,4.0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
CUS000148,26,3,2,5,61,15.0,1,4,4,4,2,2,2,4,1.0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
